transaction_id,customer_email,product,quantity,unit_price,timestamp
TRX-1000,user_469@example.com,Headphones,2,1500,2026-02-03 11:19:02.228457
TRX-1001,user_858@example.com,Monitor,1,3000,2026-02-17 11:19:02.232373
TRX-1002,user_461@example.com,Mouse,5,300,2026-03-01 11:19:02.232500
TRX-1003,user_987@example.com,Mouse,4,300,2026-03-01 11:19:02.232554
TRX-1004,user_971@example.com,Keyboard,5,500,2026-02-24 11:19:02.232596
TRX-1005,user_197@example.com,Mouse,5,300,2026-03-03 11:19:02.232636
TRX-1006,user_811@example.com,Monitor,2,3000,2026-02-22 11:19:02.232674
TRX-1007,user_244@example.com,Monitor,4,3000,2026-02-18 11:19:02.232710
TRX-1008,user_863@example.com,Keyboard,3,500,2026-03-01 11:19:02.232744
TRX-1009,user_301@example.com,Mouse,2,300,2026-02-26 11:19:02.232789
TRX-1010,user_487@example.com,Mouse,1,300,2026-02-18 11:19:02.232827
TRX-1011,user_784@example.com,Headphones,5,1500,2026-02-26 11:19:02.232862
TRX-1012,user_118@example.com,Smartphone,1,8000,2026-02-13 11:19:02.232902
TRX-1013,user_628@example.com,Laptop,3,15000,2026-02-16 11:19:02.232939
TRX-1014,,Headphones,5,1500,2026-02-24 11:19:02.232972
TRX-1015,user_649@example.com,Headphones,4,1500,2026-02-21 11:19:02.233007
TRX-1016,user_655@example.com,Monitor,1,3000,2026-02-02 11:19:02.233045
TRX-1017,user_335@example.com,Smartphone,3,8000,2026-02-08 11:19:02.233080
TRX-1018,user_627@example.com,Monitor,4,3000,2026-02-21 11:19:02.233122
TRX-1019,user_206@example.com,Smartphone,1,8000,2026-02-10 11:19:02.233155
TRX-1020,user_303@example.com,Keyboard,4,500,2026-02-06 11:19:02.233187
TRX-1021,user_508@example.com,Headphones,3,1500,2026-02-19 11:19:02.233219
TRX-1022,user_861@example.com,Laptop,5,15000,2026-02-09 11:19:02.233260
TRX-1023,user_334@example.com,Laptop,1,15000,2026-02-19 11:19:02.233289
TRX-1024,user_300@example.com,Laptop,2,15000,2026-03-03 11:19:02.233316
TRX-1025,user_690@example.com,Keyboard,4,500,2026-02-06 11:19:02.233343
TRX-1026,user_206@example.com,Smartphone,1,8000,2026-02-24 11:19:02.233371
TRX-1027,user_673@example.com,Headphones,1,1500,2026-02-16 11:19:02.233399
TRX-1028,user_933@example.com,Mouse,4,300,2026-02-14 11:19:02.233426
TRX-1029,user_678@example.com,Laptop,5,15000,2026-02-04 11:19:02.233453
TRX-1030,user_986@example.com,Keyboard,5,500,2026-02-04 11:19:02.233481
TRX-1031,user_150@example.com,Mouse,1,300,2026-02-19 11:19:02.233507
TRX-1032,user_801@example.com,Headphones,4,1500,2026-02-19 11:19:02.233536
TRX-1033,user_983@example.com,Mouse,1,300,2026-02-06 11:19:02.233564
TRX-1034,user_720@example.com,Keyboard,4,500,2026-02-15 11:19:02.233592
TRX-1035,user_752@example.com,Smartphone,2,8000,2026-02-01 11:19:02.233619
TRX-1036,user_496@example.com,Mouse,2,300,2026-02-24 11:19:02.233646
TRX-1037,user_467@example.com,Mouse,5,300,2026-02-02 11:19:02.233674
TRX-1038,user_306@example.com,Keyboard,3,500,2026-02-03 11:19:02.233701
TRX-1039,user_400@example.com,Headphones,4,1500,2026-02-27 11:19:02.233728
TRX-1040,user_718@example.com,Laptop,5,15000,2026-03-03 11:19:02.233757
TRX-1041,user_585@example.com,Monitor,4,3000,2026-02-27 11:19:02.233784
TRX-1042,user_118@example.com,Smartphone,2,8000,2026-02-21 11:19:02.233812
TRX-1043,user_293@example.com,Headphones,1,1500,2026-02-11 11:19:02.233839
TRX-1044,user_380@example.com,Smartphone,3,8000,2026-02-08 11:19:02.233866
TRX-1045,user_709@example.com,Keyboard,3,500,2026-02-06 11:19:02.233893
TRX-1046,user_612@example.com,Monitor,2,3000,2026-02-18 11:19:02.233919
TRX-1047,user_600@example.com,Keyboard,1,500,2026-02-03 11:19:02.233946
TRX-1048,user_255@example.com,Laptop,5,15000,2026-02-19 11:19:02.233973
